"gameid","teaminpossession","possession_id","eventname","outcome","pass_count","passes_between_shots","time_since_possession","time_since_shot"
72393,885,9,"shot","failed",2,2,6.533333,6.533333
72393,885,9,"shot","successful",8,6,25.333336,18.800003
72393,814,10,"shot","successful",1,1,4.53334000000001,4.53334000000001
72393,885,11,"shot","failed",1,1,7.76666399999999,7.76666399999999
72393,885,17,"shot","successful",7,7,32.23332,32.23332
72393,885,19,"shot","successful",0,0,2.30000000000001,2.30000000000001
72393,814,34,"shot","failed",0,0,0.0333299999999781,0.0333299999999781
72393,814,34,"shot","successful",0,0,3.33332999999999,3.30000000000001
72393,814,36,"shot","successful",2,2,3.73333000000002,3.73333000000002
72393,885,39,"shot","failed",1,1,2.66667000000001,2.66667000000001
72393,814,40,"shot","successful",1,1,4.20001000000002,4.20001000000002
72393,814,44,"shot","successful",0,0,1.36665999999997,1.36665999999997
72393,814,54,"shot","successful",3,3,11.03333,11.03333
72393,885,57,"shot","failed",8,8,20.96666,20.96666
72393,885,63,"shot","failed",0,0,0.0333400000000097,0.0333400000000097
72393,814,68,"shot","failed",3,3,6.70000000000005,6.70000000000005
72393,814,68,"shot","failed",3,0,8.53330000000005,1.83330000000001
72393,814,68,"shot","failed",3,0,12.7999600000001,4.26666
72393,814,72,"shot","successful",1,1,5.2666999999999,5.2666999999999
72393,814,72,"shot","failed",1,0,8.46669999999995,3.20000000000005
72393,885,79,"shot","failed",2,2,4.10000000000002,4.10000000000002
72393,885,79,"shot","failed",3,1,8.70000000000005,4.60000000000002
72393,814,82,"shot","failed",6,6,21.96666,21.96666
72393,814,82,"shot","failed",6,0,23.7333599999999,1.7666999999999
72393,814,82,"shot","failed",7,1,32.2999600000001,8.56660000000011
72393,814,82,"shot","failed",8,1,36.40002,4.10005999999998
72393,814,82,"shot","failed",15,7,53,16.59998
72393,885,87,"shot","failed",6,6,13.9333,13.9333
72393,885,87,"shot","successful",8,2,30.4,16.4666999999999
72393,814,92,"shot","successful",0,0,1.03330000000005,1.03330000000005
72393,885,99,"shot","successful",3,3,10.8,10.8
72393,885,105,"shot","failed",6,6,18.1666399999999,18.1666399999999
72393,885,119,"shot","successful",1,1,5.10000000000014,5.10000000000014
72393,885,121,"shot","failed",3,3,5.70000000000005,5.70000000000005
72393,885,127,"shot","successful",1,1,3.73339999999985,3.73339999999985
72393,814,128,"shot","successful",6,6,12.1000000000001,12.1000000000001
72393,814,128,"shot","failed",6,0,13.7,1.59999999999991
72393,814,130,"shot","successful",6,6,13.8667,13.8667
72393,814,134,"shot","successful",4,4,10.0667000000001,10.0667000000001
72393,885,137,"shot","successful",2,2,7.93329999999992,7.93329999999992
72393,885,149,"shot","failed",2,2,3.69999999999982,3.69999999999982
72393,885,159,"shot","successful",1,1,2,2
72393,885,159,"shot","successful",1,0,3.36660000000006,1.36660000000006
72393,885,165,"shot","failed",3,3,23.7665999999999,23.7665999999999
72393,814,166,"shot","failed",4,4,13.4666999999999,13.4666999999999
72393,814,166,"shot","successful",5,1,18.1333,4.66660000000002
72393,885,175,"shot","successful",1,1,4.26659999999993,4.26659999999993
72393,885,177,"shot","successful",0,0,1.10009999999988,1.10009999999988
72393,814,180,"shot","successful",0,0,3.39990000000012,3.39990000000012
72393,814,180,"shot","successful",0,0,4.29989999999998,0.899999999999864
72393,814,180,"shot","successful",0,0,5.03330000000005,0.733400000000074
72393,814,180,"shot","successful",2,2,15.5333000000001,10.5
72393,885,181,"shot","failed",2,2,7.79999999999995,7.79999999999995
72393,885,181,"shot","failed",5,3,26.4334000000001,18.6334000000002
72393,885,181,"shot","successful",9,4,51.2667000000001,24.8333
72393,814,182,"shot","failed",4,4,8.56669999999986,8.56669999999986
72393,814,186,"shot","failed",4,4,19.5998999999999,19.5998999999999
72393,814,186,"shot","successful",6,2,31.5,11.9001000000001
72393,885,199,"shot","successful",1,1,5.79999999999995,5.79999999999995
72393,814,202,"shot","successful",2,2,2.53340000000003,2.53340000000003
72393,814,206,"shot","successful",10,10,48.5333000000001,48.5333000000001
72393,814,212,"shot","failed",1,1,9.86670000000004,9.86670000000004
72393,814,220,"shot","failed",4,4,9.10000000000036,9.10000000000036
72393,814,220,"shot","successful",10,6,23.1333,14.0332999999996
72393,885,223,"shot","failed",2,2,3.39999999999964,3.39999999999964
72393,885,225,"shot","failed",0,0,2.40010000000029,2.40010000000029
72393,885,227,"shot","successful",0,0,1,1
72393,885,227,"shot","failed",0,0,2.30009999999993,1.30009999999993
72393,885,229,"shot","failed",3,3,9.30000000000018,9.30000000000018
72393,885,239,"shot","failed",0,0,2.63329999999996,2.63329999999996
72393,814,246,"shot","successful",3,3,13.0999999999999,13.0999999999999
72393,814,246,"shot","successful",3,0,14.4000000000001,1.30000000000018
72393,814,250,"shot","failed",3,3,17.5998999999997,17.5998999999997
72393,814,252,"shot","successful",3,3,16.8999999999996,16.8999999999996
72393,814,256,"shot","successful",4,4,18.7334000000001,18.7334000000001
72393,814,256,"shot","failed",7,3,35.7665999999999,17.0331999999999
72393,814,258,"shot","failed",2,2,5.19999999999982,5.19999999999982
72393,814,282,"shot","successful",1,1,4.73340000000007,4.73340000000007
72393,814,294,"shot","successful",2,2,5.93339999999989,5.93339999999989
72393,885,295,"shot","successful",4,4,8.09999999999991,8.09999999999991
72393,885,303,"shot","successful",1,1,8,8
72393,814,310,"shot","successful",1,1,2.46669999999995,2.46669999999995
72393,814,312,"shot","successful",0,0,0.400099999999838,0.400099999999838
72393,814,314,"shot","successful",7,7,15.6667000000002,15.6667000000002
72393,814,314,"shot","failed",10,3,28.6333,12.9665999999997
72393,814,314,"shot","successful",11,1,34.6667000000002,6.03340000000026
72393,814,314,"shot","successful",12,1,39.3000000000002,4.63329999999996
72393,814,314,"shot","failed",12,0,40.1333,0.833299999999781
72393,814,318,"shot","successful",7,7,14.7999,14.7999
72393,814,318,"shot","successful",10,3,22.8332999999998,8.0333999999998
72393,814,318,"shot","successful",12,2,29.1333,6.30000000000018
72393,814,320,"shot","successful",2,2,12.7666999999997,12.7666999999997
72393,814,320,"shot","successful",2,0,13.5666999999999,0.800000000000182
72393,885,337,"shot","successful",1,1,5.9332000000004,5.9332000000004
72393,885,345,"shot","failed",3,3,11.2665999999999,11.2665999999999
72393,814,352,"shot","failed",0,0,4.79999999999973,4.79999999999973
72393,814,358,"shot","failed",1,1,8.83339999999998,8.83339999999998
72393,885,359,"shot","successful",3,3,14.8334,14.8334
72393,885,359,"shot","successful",5,2,22.3667,7.53330000000005
72393,814,364,"shot","failed",0,0,0.833299999999781,0.833299999999781
72393,814,364,"shot","failed",0,0,4.40000000000009,3.56670000000031
72393,885,371,"shot","successful",1,1,9.83330000000024,9.83330000000024
72393,885,377,"shot","failed",1,1,0.566600000000108,0.566600000000108
72393,885,379,"shot","failed",2,2,2.09990000000016,2.09990000000016
72393,885,379,"shot","failed",5,3,11.7332999999999,9.63339999999971
72393,885,385,"shot","failed",3,3,7.56669999999986,7.56669999999986
67874,628,387,"shot","successful",3,3,6.033333,6.033333
67874,628,393,"shot","failed",1,1,1.66667000000001,1.66667000000001
67874,628,393,"shot","failed",3,2,12.933334,11.266664
67874,628,393,"shot","successful",4,1,18.36667,5.433336
67874,628,395,"shot","successful",0,0,0.0333359999999914,0.0333359999999914
67874,869,400,"shot","successful",2,2,4.43333000000001,4.43333000000001
67874,869,404,"shot","successful",1,1,5.23333000000002,5.23333000000002
67874,869,404,"shot","failed",1,0,9.86666000000002,4.63333
67874,628,411,"shot","failed",6,6,14.13334,14.13334
67874,628,413,"shot","successful",2,2,12.66667,12.66667
67874,869,416,"shot","successful",7,7,14.59998,14.59998
67874,869,416,"shot","successful",18,11,38.76666,24.16668
67874,869,416,"shot","failed",19,1,42.36666,3.59999999999997
67874,869,416,"shot","failed",19,0,42.93332,0.566660000000013
67874,869,416,"shot","successful",19,0,44.09998,1.16665999999998
67874,869,416,"shot","successful",32,13,74.03333,29.93335
67874,869,422,"shot","successful",2,2,5.70001000000002,5.70001000000002
67874,869,432,"shot","failed",1,1,7.40000000000003,7.40000000000003
67874,628,437,"shot","failed",4,4,8.16669999999999,8.16669999999999
67874,869,444,"shot","successful",0,0,1.86660000000006,1.86660000000006
67874,628,451,"shot","failed",2,2,1.66669999999999,1.66669999999999
67874,628,455,"shot","failed",4,4,10.3666000000001,10.3666000000001
67874,869,464,"shot","failed",2,2,20.90004,20.90004
67874,869,464,"shot","successful",2,0,22.46668,1.56664000000001
67874,628,465,"shot","successful",0,0,7.20000000000005,7.20000000000005
67874,628,469,"shot","failed",3,3,13.53332,13.53332
67874,869,470,"shot","successful",1,1,5.56664999999998,5.56664999999998
67874,869,470,"shot","failed",3,2,11.73335,6.16669999999999
67874,869,470,"shot","successful",5,2,16.4332899999999,4.69993999999997
67874,869,476,"shot","successful",4,4,10.7332799999999,10.7332799999999
67874,869,476,"shot","failed",4,0,12.79999,2.06671000000006
67874,869,476,"shot","failed",5,1,15.8333399999999,3.03334999999993
67874,869,480,"shot","successful",2,2,0.900000000000091,0.900000000000091
67874,869,480,"shot","successful",3,1,12.9666,12.0665999999999
67874,869,492,"shot","successful",5,5,7.83339999999998,7.83339999999998
67874,628,493,"shot","failed",2,2,8.93330000000014,8.93330000000014
67874,628,495,"shot","failed",2,2,6.66679999999997,6.66679999999997
67874,628,499,"shot","failed",1,1,3,3
67874,869,502,"shot","successful",3,3,10.7333999999998,10.7333999999998
67874,869,502,"shot","failed",4,1,17.7,6.9666000000002
67874,869,506,"shot","failed",12,12,35.6333,35.6333
67874,869,506,"shot","successful",14,2,42.8332,7.19990000000007
67874,869,508,"shot","successful",2,2,4.56669999999986,4.56669999999986
67874,869,508,"shot","successful",7,5,18.1333,13.5666000000001
67874,869,510,"shot","failed",3,3,4.89999999999986,4.89999999999986
67874,628,511,"shot","successful",7,7,18,18
67874,628,511,"shot","successful",7,0,20.2666999999999,2.2666999999999
67874,869,516,"shot","failed",4,4,17.3000000000002,17.3000000000002
67874,869,522,"shot","successful",2,2,13.5666999999999,13.5666999999999
67874,869,522,"shot","failed",3,1,17.0334,3.46670000000017
67874,869,524,"shot","failed",3,3,7.43340000000012,7.43340000000012
67874,869,528,"shot","successful",6,6,23.0333000000001,23.0333000000001
67874,628,537,"shot","failed",1,1,0.866700000000037,0.866700000000037
67874,628,537,"shot","successful",4,3,15.7,14.8333
