"gameid","opposingteamgoalieoniceid","opposingteamid","playerid","teamgoalieoniceid","teamid","teaminpossession","currentpossession","xg_allattempts","compiledgametime","eventname","ishomegame","manpowersituation","opposingteamskatersonicecount","outcome","period","playerprimaryposition","scoredifferential","teamskatersonicecount","type","xadjcoord","yadjcoord","possession_id","has_shot","pass_count","time_since_possession","passes_between_shots","time_since_shot"
72393,172367,814,710249,553243,885,885,12,0.007321793719128,60.533333,"shot",0,"evenStrength",5,"failed",1,"F",0,5,"outside",64.5744018554688,-28.9176483154297,9,TRUE,2,6.533333,2,6.533333
72393,172367,814,597619,553243,885,885,15,0.003415717236564,79.333336,"shot",0,"powerPlay",4,"successful",1,"D",0,5,"outside",34.3979339599609,-8.29705810546875,9,TRUE,8,25.333336,6,18.800003
72393,553243,885,295519,172367,814,814,19,0.17971618286011,96.26667,"shot",1,"shortHanded",5,"successful",1,"F",0,4,"slot",78.7559661865234,-3.76763534545898,10,TRUE,1,4.53334000000001,1,4.53334000000001
72393,172367,814,377117,553243,885,885,21,0.148124200537639,109.666664,"shot",0,"powerPlay",4,"failed",1,"F",-1,5,"slot",79.1596984863281,-9.30294036865234,11,TRUE,1,7.76666399999999,1,7.76666399999999
72393,172367,814,727892,553243,885,885,28,0.014036782925716,170.76666,"shot",0,"powerPlay",4,"successful",1,"F",-1,5,"slot",57.0381736755371,-21.8275527954102,17,TRUE,7,32.23332,7,32.23332
72393,172367,814,834804,553243,885,885,30,0.009553181832351,177.36667,"shot",0,"powerPlay",4,"successful",1,"F",-1,5,"outside",69.1087646484375,29.9195022583008,19,TRUE,0,2.30000000000001,0,2.30000000000001
72393,553243,885,551549,172367,814,814,48,0.002109249502731,274,"shot",1,"evenStrength",5,"failed",1,"D",1,5,"outsideblocked",37.5148010253906,34.9588317871094,34,TRUE,0,0.0333299999999781,0,0.0333299999999781
72393,553243,885,221780,172367,814,814,49,0.036570472859944,277.3,"shot",1,"evenStrength",5,"successful",1,"D",1,5,"outside",39.0236206054687,-31.4294013977051,34,TRUE,0,3.33332999999999,0,3.30000000000001
72393,553243,885,593016,172367,814,814,52,0.003480504821208,292.76666,"shot",1,"evenStrength",5,"successful",1,"D",2,5,"outside",37.5148010253906,-16.3411655426025,36,TRUE,2,3.73333000000002,2,3.73333000000002
72393,172367,814,383829,553243,885,885,56,0.023353776741905,307.96667,"shot",0,"evenStrength",5,"failed",1,"F",-2,5,"slotblocked",54.0205268859863,3.82244491577148,39,TRUE,1,2.66667000000001,1,2.66667000000001
72393,553243,885,256345,172367,814,814,59,0.005987425217432,338.06668,"shot",1,"evenStrength",5,"successful",1,"F",2,5,"outside",58.1432495117187,-27.9147052764893,40,TRUE,1,4.20001000000002,1,4.20001000000002
72393,553243,885,256345,172367,814,814,64,0.002198100488433,358.2,"shot",1,"evenStrength",5,"successful",1,"F",2,5,"outside",14.3873596191406,5.27941131591797,44,TRUE,0,1.36665999999997,0,1.36665999999997
72393,553243,885,551549,172367,814,814,77,0.04351772476151,413.66666,"shot",1,"evenStrength",5,"successful",1,"D",2,5,"outside",32.9882965087891,27.9187316894531,54,TRUE,3,11.03333,3,11.03333
72393,172367,814,700879,553243,885,885,83,0.003821067261303,447.76666,"shot",0,"evenStrength",5,"failed",1,"F",-2,5,"outsideblocked",42.4449920654297,25.9029407501221,57,TRUE,8,20.96666,8,20.96666
72393,172367,814,313096,553243,885,885,91,0.031561604656704,498.23334,"shot",0,"evenStrength",5,"failed",1,"D",-2,5,"outsideblocked",73.6352310180664,-19.3128509521484,63,TRUE,0,0.0333400000000097,0,0.0333400000000097
72393,553243,885,551549,172367,814,814,97,0.002139439664254,533.6667,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outsideblocked",46.5755920410156,32.438232421875,68,TRUE,3,6.70000000000005,3,6.70000000000005
72393,553243,885,551549,172367,814,814,98,0.001847029480931,535.5,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outside",55.6285400390625,38.4735260009766,68,TRUE,3,8.53330000000005,0,1.83330000000001
72393,553243,885,593016,172367,814,814,99,0.001712805421809,539.76666,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outsideblocked",46.0647583007813,-36.4577369689941,68,TRUE,3,12.7999600000001,0,4.26666
72393,553243,885,155992,172367,814,814,104,0.004503322241384,558.3,"shot",1,"evenStrength",5,"successful",1,"F",2,5,"outside",60.1471099853516,32.9481430053711,72,TRUE,1,5.2666999999999,1,5.2666999999999
72393,553243,885,721570,172367,814,814,105,0.001867688018879,561.5,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outsideblocked",56.6265258789062,-35.4518547058105,72,TRUE,1,8.46669999999995,0,3.20000000000005
72393,172367,814,710249,553243,885,885,113,0.051061539122625,626.4,"shot",0,"evenStrength",5,"failed",1,"F",-2,5,"slot",82.1773452758789,9.30588150024414,79,TRUE,2,4.10000000000002,2,4.10000000000002
72393,172367,814,879732,553243,885,885,114,0.001434838279029,631,"shot",0,"evenStrength",5,"failed",1,"D",-2,5,"outside",35.4038162231445,-27.9117660522461,79,TRUE,3,8.70000000000005,1,4.60000000000002
72393,553243,885,675526,172367,814,814,121,0.004104313230147,672.7,"shot",1,"evenStrength",5,"failed",1,"F",2,5,"outsideblocked",43.0550079345703,-9.30588150024414,82,TRUE,6,21.96666,6,21.96666
72393,553243,885,551549,172367,814,814,122,0.021888662609362,674.4667,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"slot",63.1726531982422,13.3264694213867,82,TRUE,6,23.7333599999999,0,1.7666999999999
72393,553243,885,222070,172367,814,814,123,0.002114440562192,683.0333,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outsideblocked",39.534423828125,-25.9029407501221,82,TRUE,7,32.2999600000001,1,8.56660000000011
72393,553243,885,509639,172367,814,814,124,0.024058066973666,687.13336,"shot",1,"evenStrength",5,"failed",1,"F",2,5,"slotblocked",64.6814727783203,14.3323516845703,82,TRUE,8,36.40002,1,4.10005999999998
72393,553243,885,222070,172367,814,814,125,0.00263432338127,703.73334,"shot",1,"evenStrength",5,"failed",1,"D",2,5,"outside",28.97265625,-31.4352931976318,82,TRUE,15,53,7,16.59998
72393,172367,814,383829,553243,885,885,134,0.00235778058465,758.8333,"shot",0,"evenStrength",5,"failed",1,"F",-2,5,"outsideblocked",43.4556007385254,29.9264717102051,87,TRUE,6,13.9333,6,13.9333
72393,172367,814,71819,553243,885,885,136,0.001743321323834,775.3,"shot",0,"evenStrength",5,"successful",1,"D",-2,5,"outside",28.8703079223633,28.9205875396728,87,TRUE,8,30.4,2,16.4666999999999
72393,553243,885,213380,172367,814,814,141,0.103674688893529,798.8333,"shot",1,"evenStrength",5,"successful",1,"F",2,5,"slot",69.2000885009766,9.81177520751953,92,TRUE,0,1.03330000000005,0,1.03330000000005
72393,172367,814,313096,553243,885,885,151,0.035097759125776,883.4,"shot",0,"evenStrength",5,"successful",1,"D",-2,5,"slot",84.6999359130859,2.81656265258789,99,TRUE,3,10.8,3,10.8
72393,172367,814,666826,553243,885,885,162,0.002664614243864,936.8,"shot",0,"evenStrength",5,"failed",1,"D",-2,5,"outsideblocked",28.3673629760742,16.8500003814697,105,TRUE,6,18.1666399999999,6,18.1666399999999
72393,172367,814,879732,553243,885,885,182,0.00241873027365,1058.0333,"shot",0,"evenStrength",5,"successful",1,"D",-2,5,"outside",31.3881759643555,-40.4922637939453,119,TRUE,1,5.10000000000014,1,5.10000000000014
72393,172367,814,435025,553243,885,885,187,0.046801332969849,1071.4667,"shot",0,"evenStrength",5,"failed",1,"F",-2,5,"slot",68.1028823852539,4.32538604736328,121,TRUE,3,5.70000000000005,3,5.70000000000005
72393,172367,814,307447,553243,885,885,196,0.214663722191917,1122.7667,"shot",0,"evenStrength",5,"successful",1,"F",-2,5,"slot",81.1793518066406,2.81656265258789,127,TRUE,1,3.73339999999985,1,3.73339999999985
72393,553243,885,222070,172367,814,814,197,0.085662350712517,1139.8667,"shot",1,"evenStrength",5,"successful",1,"D",2,5,"outside",42.5442047119141,-7.79116439819336,128,TRUE,6,12.1000000000001,6,12.1000000000001
72393,553243,885,155992,172367,814,814,198,0.160666501388564,1141.4667,"shot",1,"evenStrength",5,"failed",1,"F",2,5,"slotblocked",80.2726593017578,-1.76176452636719,128,TRUE,6,13.7,0,1.59999999999991
